Identifier,Name,Height,Spread,Diameter,Maturity,Condition
00000352,London plane,14,11,53,Middle aged,Good
00000354,London plane,10,7,44,Middle aged,Good
00000355,London plane,10,7,44,Mature,Good
00000356,Lime - Caucasian,10,4,31,Middle aged,Good
00000358,London plane,14,8,46,Middle aged,Good
00000359,Lime - Caucasian,12,7,38,Middle aged,Good
00000360,London plane,15,14,79,Mature,Good
00000361,London plane,16,10,58,Mature,Good
00000362,London plane,16,15,81,Mature,Good
00000363,Ash,12,4,31,Middle aged,Fair
00000364,Lime - Caucasian,10,5,28,Middle aged,Fair
00000365,"Rowan, Mountain Ash",8,5,41,Mature,Fair
00000366,Ash - Manna,6,4,38,Middle aged,Fair
00000367,Lime - Common,17,8,63,Mature,Good
00000369,Rowan,4,3,15,Mature,Fair
00000370,London plane,14,11,50,Mature,Good
00000371,London plane,14,13,65,Mature,Good
00000372,London plane,14,9,66,Mature,Good
00000373,London plane,12,8,42,Mature,Good
00000374,London plane,14,11,65,Mature,Good
00000375,London plane,13,8,82,Mature,Good
00000376,London plane,19,11,82,Mature,Fair
00000377,Sycamore,7,6,32,Middle aged,Fair
00000378,London plane,18,15,73,Mature,Good
00000386,London plane,27,15,141,Middle aged,Good
00000390,London plane,24,15,73,Mature,Good
00000391,London plane,20,6,44,Mature,Good
00000392,London plane,19,6,26,Middle aged,Good
00000393,London plane,20,8,47,Mature,Good
00000394,London plane,20,8,39,Mature,Fair
00000395,London plane,20,11,49,Mature,Good
00000396,London plane,20,13,50,Mature,Fair
00000397,London plane,20,9,35,Mature,Fair
00000398,London plane,20,7,30,Mature,Fair
00000401,London plane,20,6,32,Mature,Fair
00000402,London plane,22,12,57,Mature,Good
00000403,London plane,19,6,28,Middle aged,Good
00000404,London plane,20,6,29,Middle aged,Good
00000405,London plane,19,10,38,Middle aged,Good
00000406,London plane,18,6,33,Mature,Good
00000407,London plane,18,6,28,Middle aged,Good
00000408,London plane,19,7,27,Middle aged,Good
00000410,London plane,21,14,71,Mature,Good
00000411,London plane,19,5,26,Middle aged,Good
00000412,London plane,10,4,20,Middle aged,Fair
00000413,London plane,22,10,48,Mature,Good
00000414,London plane,22,12,61,Mature,Good
00000415,London plane,10,6,19,Middle aged,Fair
00000416,London plane,19,7,43,Mature,Fair
00000417,London plane,22,7,43,Mature,Good
